Beethoven|Piano Trio No. 4 in B♭ major, Op. 11 'Gassenhauer'
Oehring & ter Schiphorst|Prae-Senz (Ballet Blanc II)
Turina|Circulo, Op. 91
Martinů|Bergerettes, H. 275
Vasks|Piano Trio 'Episodi e canto perpetuo'
Haydn|Piano Trio No. 41 in E♭ minor, Hob. XV/31
Pärt|Mozart-Adagio
Henze|Adagio adagio
Kulenty|A Cradle Song
Haydn|Piano Trio No. 38 in D major, Hob. XV/24
Rimsky-Korsakov|Piano Trio in C minor
Reinecke|Trio for clarinet, horn and piano, Op. 274
Arensky|Piano Trio No. 2 in F minor, Op. 73
Magnard|Piano Trio in F minor, Op. 18
Gribbin|How to Make the Water Sound
