Copland|Billy the Kid
Barber|Music for a Scene from Shelley
Adams|Shaker Loops
Ibert|Escales
Ginastera|Estancia
Brahms|Serenade No. 2
Roussel|Bacchus et Ariane
Grieg|Funeral March in Memory of Rikard Nordraak
Copland|El Salón México
Mendelssohn|Ruy Blas Overture
Varèse|Arcana
Tchaikovsky|Francesca da Rimini
Elgar|Serenade for Strings
Koechlin|Le Livre de la Jungle
Sibelius|The Oceanides
Lutosławski|Musique Funèbre
Honegger|Pacific 231
Sibelius|Nightride and Sunrise
Villa-Lobos|Bachianas Brasilieras No. 2
Khachaturian|Spartacus
Bax|November Woods
Tchaikovsky|Capriccio Italien
Wirén|Serenade for Strings
Copland|Lincoln Portrait
Suk|Serenade for Strings
Stravinsky|Jeu de Cartes
Ligeti|Lontano
Berlioz|Le Corsaire Overture
