Chopin|Andante spianato et grande polonaise brillante, Op. 22
Alkan|Grande Sonate "Les quatre âges", Op. 33
Weber|Aufforderung zum Tanz, Op. 65
Rodrigo|Cuatro Piezas para piano
Debussy|Rêverie, L. 68
Chopin|Scherzo No. 2, Op. 31
Mendelssohn|Variations sérieuses, Op. 54
Mozart|Fantasia in D minor, K. 397
Rachmaninoff|Études-tableaux, Op. 39
Beethoven|Piano Sonata No. 24, Op. 78 "À Thérèse"
Rachmaninoff|Morceaux de Fantaisie, Op. 3
Rachmaninoff|Thirteen Preludes, Op. 32
Grieg|Ballade in the Form of Variations on a Norwegian Folk Song, Op. 24
Sorabji|Opus clavicembalisticum
Schumann|Waldszenen, Op. 82
Rachmaninoff|Piano Sonata No. 2, Op. 36
Schubert|Piano Sonata No. 13, D. 664
Beethoven|Piano Sonata No. 18, Op. 31/3
Beethoven|Piano Sonata No. 13, Op. 27/1 "Quasi una fantasia"
Beethoven|Eroica Variations, Op. 35
Tchaikovsky|Les Saisons, Op. 37
Barber|Piano Sonata, Op. 26
Liebermann|Gargoyles, Op. 29
Liszt|Mephisto Waltz No. 1, S. 514
Bach|Toccata in F sharp minor, BWV 910
Scarlatti|Keyboard Sonata in D minor, K. 9 "Pastorale"
Mozart|Fantasia in C minor, K. 475
Villa-Lobos|Rudepoêma, W. 184
Schubert|Piano Sonata No. 6, D. 566
Mozart|Piano Sonata No. 8, K. 310
Haydn|Piano Sonata No. 59, Hob. XVI/49
Chopin|Fantaisie in F minor, Op. 49
Schumann|Album für die Jugend, Op. 68
Lutosławski|Piano Sonata
Haydn|Andante with variations in F minor, Hob. XVII/6
Dvořák|Humoresques, Op. 101
Chopin|Nocturnes, Op. 48
Beethoven|Piano Sonata No. 12, Op. 26
Bartók|Romanian Folk Dances, Sz. 56
Brahms|Piano Sonata No. 1, Op. 1
Cage|Sonatas and Interludes for prepared piano
Albéniz|Suite española, Op. 47
Haydn|Piano Sonata No. 33, Hob. XVI/20
Boulez|Piano Sonata No. 2
Chopin|Scherzo No. 3, Op. 39
Bach|Fantasia and Fugue in A minor, BWV 944
Franck|Prelude, Chorale, and Fugue
Dukas|Piano Sonata
Chopin|Ballade No. 2, Op. 38
Medtner|Piano Sonata in G minor, Op. 22
Schumann|Humoreske, Op. 20
Beethoven|Six variations on a theme in F major, Op. 34
Ginastera|Danzas Argentinas, Op. 2
Satie|Sports et Divertissements
Debussy|Deux Arabesques, L. 66
Schubert|Piano Sonata No. 14, D. 784
Bach|Toccata in D minor, BWV 913
Beethoven|Piano Sonata No. 7, Op. 10/3
Liszt|Liebesträume, S. 541
Chopin|Berceuse, Op. 57
Mozart|Rondo in A minor, K. 511
Frescobaldi|Il secondo libro di toccate
Clementi|Piano Sonata in B minor, Op. 40/2
Liszt|Réminiscences de Don Juan, S. 418
Rachmaninoff|Variations on a Theme of Chopin, Op. 22
Brahms|Eight Pieces for piano, Op. 76
Schumann|Novelletten, Op. 21
Scarlatti|Keyboard Sonata in G Major, K. 455
Bach|Toccata in G Major, BWV 916
Schubert|Piano Sonata No. 16, D. 845
Prokofiev|Visions Fugitives, Op. 22
Byrd|My Ladye Nevells Booke
Medtner|Theme and Variations, Op. 55
Liszt|Trois études de concert, S. 144
